year,month,day,country,title,text,extracted_terms,hazard-category,product-category,hazard,product
1995,5,1,us,Recall Notification: FSIS-002-95,"Case Number: 002-95   
            Date Opened: 01/05/1995   
            Date Closed: 03/14/1995 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  08435  M   
              Name:  JOHN MCKENZIE PACKING CO
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  BURLINGTON    
            State:  VT   
            Country:  USA
    
            Product:  HOT DOGS
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  2,920   
            Pounds Recovered:  3","* Food
* Hazard
* Recall
* Notification
* FSIS-002-95

Hazard-related terms: 
* Food safety
* Hazardous materials
* Hazardous
* Risk

Food-related terms: 
* Food safety
* Food inspection
* Foodborne illness
* Food handling
* Food recall
* Food storage
* Food preparation
* Foodborne illness prevention
* Food safety regulations
* Food handling guidelines
* Food storage requirements
* Food",foreign bodies,prepared dishes and snacks,plastic fragment,hot dogs
1995,5,5,us,Recall Notification: FSIS-021-95,"Case Number: 021-95   
            Date Opened: 05/05/1995   
            Date Closed: 07/17/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  09060  P   
              Name:  HAROLD FOOD COMPANY
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  CHARLOTTE    
            State:  NC   
            Country:  USA
    
            Product:  CHICKEN SALAD
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  105   
            Pounds Recovered:  6","- Recall
- Notification
- Food Safety
- Hazard
- FSIS
- 1995

Hazard-related terms: 
- Hazard
- Food Safety
- Recall
- Notification

Food-related terms: 
- Food Safety
- Recall
- Notification
- Food
- 1995 

Corrected answer: 
- Hazard
- Food Safety
- Recall
- Notification
- 1995",biological,"meat, egg and dairy products",listeria spp,chicken based products
1995,5,30,us,Recall Notification: FSIS-025-95,"Case Number: 025-95   
            Date Opened: 05/30/1995   
            Date Closed: 11/27/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  00880  M   
              Name:  GLAZIER PACKING
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  POTSDAM    
            State:  NY   
            Country:  USA
    
            Product:  FRANKFURTERS
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  3,780   
            Pounds Recovered:  126","* Recall
* Notification
* FSIS
* Hazard
* Food
* Inspection
* Recall Notification

Hazard-related terms: 
* Food
* Hazard
* Inspection

Food-related terms: 
* Food
* Inspection

Note that some terms are repeated, but I have extracted all unique terms from the title. The hazard-related and food-related terms are the ones that have a clear connection to the topic of food safety or inspection.",biological,"meat, egg and dairy products",listeria monocytogenes,thermal processed pork meat
1995,6,11,us,Recall Notification: FSIS-038-95,"Case Number: 038-95   
            Date Opened: 11/06/1995   
            Date Closed: 04/12/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  N/A   
              Name:  GAINERS BURNS FOODS
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  18-B
    
            City:  EDMONTON    
            State:  F   
            Country:  CANADA
    
            Product:  HOT DOGS, PORK (FRANKS)
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  4,320   
            Pounds Recovered:  1,691","Hazard, Recall, Food Safety, Inspection, FSIS, Notification

Extraction of relevant terms:
- Hazard
- Recall
- Food Safety
- Inspection
- FSIS
- Notification

Hazard-related terms: 
- Recall
- Food Safety
- Inspection
- FSIS

Extracted terms: 
- Recall
- Food Safety
- Inspection
- FSIS
- Notification",biological,prepared dishes and snacks,listeria monocytogenes,hot dogs
1995,7,12,us,Recall Notification: FSIS-041-95,"Case Number: 041-95   
            Date Opened: 12/07/1995   
            Date Closed: 02/22/1996 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  N/A   
              Name:  TH. S. VAN DER LAAN INT'L*
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  129
    
            City:  ALMELO    
            State:  F   
            Country:  THE NETHERLANDS
    
            Product:  CANNED LUNCHEON MEAT
    
            Problem:  DRUG   
            Description: SULFAMETHAZINE
    
            Total Pounds Recalled:  1,476   
            Pounds Recovered:  1,314","Recall, Notification, FSIS, Food Safety, Hazard, Food Safety Inspection, Hazardous Materials, Hazardous Substances, Foodborne Illness, Foodborne Pathogens, Food Storage, Food Handling, Food Preparation, Food Labeling, Food Inspection, Hazardous Materials Control, Hazardous Substances Control, Food Safety Regulation, Food Safety Inspection Regulation, Food Safety Inspection Program.

## Step 1: Identify the key terms in the title
The key terms in the title are 'Recall',",chemical,"meat, egg and dairy products",sulfamethazine unauthorised,Precooked cooked pork meat products
1995,8,2,us,Recall Notification: FSIS-006-95,"Case Number: 006-95   
            Date Opened: 02/08/1995   
            Date Closed: 04/04/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  06387  M   
              Name:  MAYABEQUE PRODUCTS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  NORTH BERGEN    
            State:  NJ   
            Country:  USA
    
            Product:  CHORIZOS
    
            Problem:  BACTERIA   
            Description: SALMONELLA
    
            Total Pounds Recalled:  6,780   
            Pounds Recovered:  2,988","1. Food Safety
2. Hazard
3. Foodborne Illness
4. Food Poisoning
5. Meat Inspection
6. Meat Inspection and Inspection
7. FSIS (Food Safety and Inspection Service)
8. Inspection
9. Recall

Hazard-related terms:

1. Hazard
2. Hazardous Food
3. Food Poisoning
4. Foodborne Illness
5. Meat Inspection

Food-related terms:

1. Food Safety
2. Food Poison",biological,"meat, egg and dairy products",salmonella,chorizo
1995,10,1,us,Recall Notification: FSIS-003-95,"Case Number: 003-95   
            Date Opened: 01/10/1995   
            Date Closed: 04/04/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  05633  M   
              Name:  QUISTORFF ENTRPRS OF OSAKIS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  OSAKIS    
            State:  MN   
            Country:  USA
    
            Product:  SMOKED POLISH SAUSAGE
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  36   
            Pounds Recovered:  31","Hazard, Food Safety, Recall, Notice, Inspection

Hazard-related terms: Recall, Inspection, Food Safety

Food-related terms: Food Safety, Recall, Notice

Hazard-related terms: Recall, Inspection, Food Safety, Notice

Note that some terms appear in both categories, but I have only extracted them once.",biological,"meat, egg and dairy products",listeria monocytogenes,smoked sausage
1996,3,4,us,Recall Notification: FSIS-009-96,"Case Number: 009-96  Recall Notification Report:  N
    
            Date Opened: 04/03/1996   
            Date Closed: 06/26/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01614  M   
              Name:  CORFU FOODS INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  BENSENVILLE    
            State:  IL   
            Country:  USA
    
            Product:  ROAST BEEF, SLICED
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  720   
            Pounds Recovered:  710","Food Safety Inspection, Hazardous Materials, Recall Notice, Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification, Food Safety Inspection, Inspection Notification",biological,"meat, egg and dairy products",listeria spp,thermal processed beef meat
1996,5,8,us,Recall Notification: FSIS-017-96,"Case Number: 017-96  Recall Notification Report:  N
    
            Date Opened: 08/05/1996   
            Date Closed: 12/02/1996 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  08999  M   
              Name:  ROCHESTER MEATS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  ROCHESTER    
            State:  MN   
            Country:  USA
    
            Product:  GROUND BEEF PATTIES, FROZEN
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  152,000   
            Pounds Recovered:  5,862","Hazard, Food Safety, Recall, Notice, FSIS, Food Safety Inspection Service.

Hazard-related terms: Food Safety, Recall, Notice.

Food-related terms: Recall, Notice, FSIS, Food Safety Inspection Service.",biological,"meat, egg and dairy products",escherichia coli,frozen beef patties
1996,9,12,us,Recall Notification: FSIS-024-96,"Case Number: 024-96  Recall Notification Report:  N
    
            Date Opened: 12/09/1996   
            Date Closed: 12/03/1997 
    
            Recall Class:  1   
            Press Release (Y/N):   
            Y
    
            Domestic Est. Number:  09453  M   
              Name:  GOULDS COUNTRY STORE
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  PIERMONT    
            State:  NH   
            Country:  USA
    
            Product:  SLICED HAM
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  52   
            Pounds Recovered:  51","1. Recall
2. Notification
3. Hazard
4. Food
5. Inspection
6. Service

Extracted terms:

1. Recall
2. Notification
3. Hazard
4. Food
5. Inspection

These terms are related to food safety and recall notification.",biological,"meat, egg and dairy products",listeria monocytogenes,sliced ham
1996,12,11,us,Recall Notification: FSIS-023-96,"Case Number: 023-96  Recall Notification Report:  N
    
            Date Opened: 11/12/1996   
            Date Closed: 06/23/1997 
    
            Recall Class:  3   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01494  M   
              Name:  DAKOTA PORK INDUSTRIES
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MITCHELL    
            State:  SD   
            Country:  USA
    
            Product:  HAM
    
            Problem:  MISBRANDED   
            Description: MISBRANDED
    
            Total Pounds Recalled:  23,280   
            Pounds Recovered:  9,140","* Hazard
* Recall
* Notification
* Food Safety
* FSIS
* FDA
* Hazard Analysis
* Risk Management
* Food Safety Inspection
* Food Safety Standards
* Recall Notification
* Food Safety and Inspection Service
* FDA",fraud,"meat, egg and dairy products",incorrect labeling,ham
1997,2,6,us,Recall Notification: FSIS-006-97,"Case Number: 006-97  Recall Notification Report:  N
    
            Date Opened: 06/02/1997   
            Date Closed: 01/05/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00021  P   
              Name:  HESTER INDUSTRIES
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MOOREFIELD    
            State:  WV   
            Country:  USA
    
            Product:  COOKED CHICKEN
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  17,434   
            Pounds Recovered:  7,150","food, hazard, recall, notice, FSIS, food safety, warning, notice of non-compliance, food safety inspection, inspection, inspection result, notice of non-compliance, inspection result, inspection, inspection result, inspection, inspection result, inspection, inspection result, inspection, inspection, inspection result, inspection, inspection, inspection result, inspection, inspection result, inspection, inspection result, inspection, inspection, inspection result, inspection, inspection result, inspection, inspection result, inspection, inspection result",biological,prepared dishes and snacks,listeria spp,cooked chicken
1997,3,9,us,Recall Notification: FSIS-016-97,"Case Number: 016-97  Recall Notification Report:  N
    
            Date Opened: 09/03/1997   
            Date Closed: 03/30/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  02260Y P   
              Name:  ADVANCE MEAT COMPANY
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  ENID    
            State:  OK   
            Country:  USA
    
            Product:  GRILLED CHICKEN BREAST
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  3,042   
            Pounds Recovered:  219","Hazard, Food Safety, Recall, Inspection, FSIS, 97, Notice

Extracted terms: 

1. Hazard
2. Food Safety
3. Recall
4. Inspection
5. FSIS
6. 97
7. Notice 

The following terms are related to food safety and hazard:

1. Food Safety
2. Hazard

The following terms are related to the recall:

1. Recall
2. Notice 

The following terms are related to the inspection:

1",foreign bodies,"meat, egg and dairy products",plastic fragment,chicken breast
1997,3,10,us,Recall Notification: FSIS-022-97,"Case Number: 022-97  Recall Notification Report:  N
    
            Date Opened: 10/03/1997   
            Date Closed: 08/14/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  01092  M   
              Name:  KAYSERI BASTERMA INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Poughkeepsie    
            State:  NY   
            Country:  USA
    
            Product:  Kayseri Soujouk (dry sausage)
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  347   
            Pounds Recovered:  347","Food Safety, Hazard, Notification, Recall, FSIS, Food Service Industry, Service Industry, Food Safety Standards, Industry Standards, Food Service Standards, Service Standards, Food Safety Inspection, Food Safety Inspectors, Food Safety Inspectors' Training, Hazardous Substances, Food Service Hazards, Hazardous Substances Handling, Food Safety Regulations, Food Safety Regulations and Standards, Food Service Regulations, Food Safety Regulations and Enforcement, Food Safety Inspection Regulations, Food Safety Inspection Regulations and Enforcement,",biological,"meat, egg and dairy products",listeria spp,sausage
1997,3,10,us,Recall Notification: FSIS-021-97,"Case Number: 021-97  Recall Notification Report:  N
    
            Date Opened: 10/03/1997   
            Date Closed: 03/02/1998 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00053  M   
              Name:  BEEF AMERICA OPERATION CO. INC
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Norfolk    
            State:  NE   
            Country:  USA
    
            Product:  Ground Beef
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  443,656   
            Pounds Recovered:  400","Hazard, Food Safety, Label, Warning, Recall, FSIS, Inspection, Meat, Beef, Pork, Chicken, Egg, Processed, Hazardous Ingredients, Raw, Poultry, Raw Meat, Raw Poultry, Food Allergen, Food Safety Inspection, Hazardous Substances, Label Claim, Warning Label, Food Allergic Reaction, Food Poisoning, Meat Inspection, Beef Inspection, Pork Inspection, Chicken Inspection, Egg Inspection, Processed Meat, Hazardous Ingredients List, Raw Meat",biological,"meat, egg and dairy products",escherichia coli,ground beef
1997,7,3,us,Recall Notification: FSIS-010-97,"Case Number: 010-97  Recall Notification Report:  N
    
            Date Opened: 03/07/1997   
            Date Closed: 08/21/1997 
    
            Recall Class:  1   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  06444  M   
              Name:  ANGUS MEATS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  SPOKANE    
            State:  WA   
            Country:  USA
    
            Product:  GROUND BEEF
    
            Problem:  BACTERIA   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  1,427   
            Pounds Recovered:  115","Food, Hazard, Safety Inspection, Inspection, Safety, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food Safety, Food Inspection, Hazard, Inspection, Food Safety, Food Inspection, Hazard,",biological,"meat, egg and dairy products",escherichia coli,ground beef
1997,7,10,us,Recall Notification: FSIS-023-97,"Case Number: 023-97  Recall Notification Report:  N
    
            Date Opened: 10/07/1997   
            Date Closed: 04/20/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  00703  P   
              Name:  ZARTIC INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  Rome    
            State:  GA   
            Country:  USA
    
            Product:  Breaded Chicken Patty Nuggets
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  21,660   
            Pounds Recovered:  7,935","- Hazard
- Food safety
- Recall
- Notification
- FSIS
- Food safety inspection
- FSIS-023-97

Hazard-related terms: 
- Recall
- Hazard
- Food safety
- Food safety inspection

Food safety-related terms: 
- Food safety
- Recall
- Notification
- Food safety inspection

The hazard-related term is 'Hazard' and the food safety-related terms are 'Food safety' and 'Food safety inspection'.",foreign bodies,"meat, egg and dairy products",plastic fragment,chicken based products
1997,11,8,us,Recall Notification: FSIS-014-97,"Case Number: 014-97  Recall Notification Report:  N
    
            Date Opened: 08/11/1997   
            Date Closed: 01/28/1998 
    
            Recall Class:  2   
            Press Release (Y/N):  N
    
            Domestic Est. Number:  N/A   
              Name:  PIK VRBOVEC MESNA  INDUSTRIJA
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  10
    
            City:  VRBOVEC    
            State:  F   
            Country:  CROATIA
    
            Product:  ROAST BEEF W/GRAVY
    
            Problem:  DRUG   
            Description: SULFAMETHAZINE
    
            Total Pounds Recalled:  6,908   
            Pounds Recovered:  6,498","Food Safety, Hazardous Foods, Meat Products, Recall, FSIS, Food Safety Inspection Service, Meat Inspection, Hazardous Materials, Foodborne Illness, Inspectors, Inspection, Inspection Criteria, Inspection Criteria for Meat, Hazardous Food, Inspection Criteria for Meat Products, Food Safety Inspection, Hazardous Materials, Food Safety Inspection Service, Hazardous Foods, Meat Inspection, Food Safety Inspection Criteria, Meat Products, Hazardous Materials, Hazardous Foods, Food Safety Inspection Service, Meat Inspection",chemical,"meat, egg and dairy products",sulfamethazine unauthorised,thermal processed beef meat
